N, Average Time (ms), Success Rate, Total Runs
8, 0 ms, 0%, 10
9, 0 ms, 0%, 10
10, 0 ms, 0%, 10
11, 0 ms, 0%, 10
12, 0 ms, 0%, 10
13, 0 ms, 0%, 10
14, 0 ms, 0%, 10
15, 0 ms, 0%, 10
16, 0 ms, 0%, 10
17, 0 ms, 0%, 10
18, 0 ms, 0%, 10
19, 0 ms, 0%, 10
20, 180.147 ms, 100%, 10
21, 72.9976 ms, 80%, 10
22, 436.173 ms, 100%, 10
23, 413.732 ms, 90%, 10
24, 437.876 ms, 100%, 10
25, 1508.79 ms, 100%, 10
